Sample	Drug
G-1 #1	PBS
G-1 #2	PBS
G1 #4	PBS
G1 #6	PBS
G-1 #8	PBS
G-1 #10	PBS
G-1 #11	PBS
G-1 #12	PBS
G-2 #1	Van
G-2 #3	Van
G2 #4	Van
G2 #6	Van
G-2 #7	Van
G-2 #8	Van
G-2 #11	Van
G-2 #12	Van
G-3 #1	Neo
G-3 #2	Neo
G-3 #3	Neo
G-3 #7	Neo
G-3 #9	Neo
G-3 #10	Neo
G-3 #11	Neo
G-3 #12	Neo
G-4 #1	Met
G4 #4	Met
G4 #5	Met
G4 #6	Met
G-4 #7	Met
G-4 #10	Met
G-4 #11	Met
G-4 #12	Met
G-5 #1	Met+Neo
G-5 #2	Met+Neo
G5 #4	Met+Neo
G5 #6	Met+Neo
G-5 #8	Met+Neo
G-5 #9	Met+Neo
G-5 #10	Met+Neo
G-5 #12	Met+Neo
G-6 #1	Met+Van
G-6 #3	Met+Van
G6 #4	Met+Van
G6 #6	Met+Van
G-6 #8	Met+Van
G-6 #9	Met+Van
G-6 #11	Met+Van
G-6 #12	Met+Van