sample_id	Unassigned_335	c__Bacteroidia_257	c__Clostridia_258483_128	d__Bacteria_138	f__Acetobacteraceae	f__Acidaminococcaceae	f__Actinomycetaceae	f__Acutalibacteraceae	f__Aerococcaceae	f__Aeromonadaceae	f__Akkermansiaceae	f__Alteromonadaceae_665222	f__Amphibacillaceae	f__Anaerofustaceae	f__Anaeroplasmataceae	f__Anaerotignaceae	f__Anaerovoracaceae	f__Anoxybacillaceae	f__Atopobiaceae	f__Bacillaceae_H_294103	f__Bacteroidaceae	f__Beijerinckiaceae	f__Bifidobacteriaceae	f__Borkfalkiaceae	f__Burkholderiaceae_A_580492	f__Burkholderiaceae_A_592522	f__Burkholderiaceae_A_595427	f__Butyricicoccaceae	f__CAG-138	f__CAG-239	f__CAG-272	f__CAG-314	f__CAG-508	f__CAG-552	f__CAG-74	f__CAG-917	f__Caulobacteraceae	f__Cellulomonadaceae	f__Cellulosilyticaceae	f__Christensenellaceae	f__Clostridiaceae_222000	f__Coprobacillaceae	f__Coriobacteriaceae	f__DSM-27016_98371	f__DSM-8532	f__Dehalobacteriaceae	f__Desulfovibrionaceae	f__Dialisteraceae	f__Dysgonomonadaceae	f__Eggerthellaceae	f__Enterobacteriaceae_A	f__Enterococcaceae	f__Erysipelotrichaceae	f__Filifactoraceae_235824	f__Fusobacteriaceae_993521	f__Gastranaerophilaceae	f__Gemellaceae	f__Helicobacteraceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Leptotrichiaceae	f__Marinifilaceae	f__Marinilabiliaceae	f__Megasphaeraceae	f__Methanobacteriaceae	f__Microbacteriaceae	f__Micrococcaceae	f__Moraxellaceae	f__Mucispirillaceae	f__Muribaculaceae	f__Mycobacteriaceae	f__Nanosyncoccaceae	f__Neisseriaceae_563222	f__Oscillospiraceae_45227	f__Oscillospiraceae_88309	f__Pasteurellaceae	f__Peptoniphilaceae	f__Peptostreptococcaceae_256921	f__Porphyromonadaceae	f__Pseudomonadaceae	f__QAKW01	f__Rikenellaceae	f__Ruminococcaceae	f__Selenomonadaceae_42771	f__Sphingomonadaceae	f__Staphylococcaceae	f__Streptococcaceae	f__Syntrophobotulaceae	f__Tannerellaceae	f__Turicibacteraceae	f__UBA1242	f__UBA1381	f__UBA644	f__UBA660	f__UBA932	f__Vagococcaceae	f__Veillonellaceae	f__Weeksellaceae	f__Xanthobacteraceae_503485	f__Xylanivirgaceae	o__Bacteroidales_464	o__Christensenellales_368	o__Christensenellales_93	o__Clostridiales_255	o__Lachnospirales_145	o__Lachnospirales_232	o__Lachnospirales_359	o__Oscillospirales_323	o__RFN20_396	o___261	p__Firmicutes_A_198	is_treatment	antibiotic	treatment
A1.d0	0.0	0.0	0.0	0.07463880151410139	0.0	0.0	0.0	0.3145492349522845	0.0	0.0	0.0	0.0	0.0	0.0	0.4105134083275576	0.3252119208828703	0.010662685930585914	0.0	0.0	0.0	12.82187983152956	0.0	0.0	0.5864477261822252	0.0	0.0	0.037319400757050696	0.15460894599349573	0.0	0.0	0.0	0.05864477261822251	0.3305432638481633	0.11728954523644501	0.0	0.0	0.0	0.0	0.0	0.015994028895878868	0.031988057791757736	0.0	0.0	0.0	0.0	1.087593964919763	0.7570507010715998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13861491709761686	0.0	0.0	36.18915604840859	0.21325371861171824	0.0	0.7143999573492561	0.0	0.0	0.0	0.0	0.0	0.0	2.5057311936876894	31.076398144692643	0.0	0.0	0.0	0.0	10.017593431785466	0.0	0.0	0.0	0.0	0.0	0.0	0.8850029322386306	0.3198805779175774	0.0	0.0	0.0	0.0	0.0	0.05331342965292957	0.0	0.026656714826464784	0.0	0.0	0.021325371861171828	0.6504238417657406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05331342965292957	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A10.d0	0.0	0.0	0.01792628710741431	0.01792628710741431	0.0	0.0	0.0	0.22228596013193747	0.0	0.0	0.0	0.0	0.0	0.0	0.05377886132224294	0.1685070988096945	0.0	0.0	0.0	0.0	39.21196041875806	0.0	0.0	0.10038720780152016	0.0	0.0	0.0	0.17926287107414313	0.0	0.0	0.0	0.014341029685931452	0.44457192026387493	0.03226731679334576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9106553850566472	0.26172379176824895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04660834647927722	0.0	0.0	17.980065968736554	0.10755772264448588	0.0	0.44457192026387493	0.0	0.0	0.0	0.0	0.0	0.0	0.7170514842965726	30.947942062240067	0.0	0.0	0.0	0.0	6.299297289545389	0.0	0.0	0.0	0.0	0.0	0.0	1.100674028395239	0.4589129499498064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021511544528897177	0.11831349490893446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021511544528897177	0.0	0.10038720780152016	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IP
A11.d0	0.0	0.0	0.09302943717190511	0.026579839191972893	0.0	0.0	0.0	0.046514718585952554	0.0	0.0	0.0	0.0	0.0	0.0	0.06644959797993222	0.09967439696989831	0.0	0.0	0.0	0.0	13.549073028108179	0.0	0.0	0.17941391454581698	0.0	0.0	0.07973951757591867	0.08638447737391189	0.0	0.0	0.013289919595986443	0.0	1.1030633264668748	0.019934879393979667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2923782311117018	0.16612399494983054	0.0	0.0	0.013289919595986443	0.0	0.0	0.046514718585952554	0.0	0.0	0.046514718585952554	0.0	0.0	12.246660907701507	0.3787627084856136	0.0	2.4852149644494648	0.0	0.0	0.0	0.0	0.0	0.0	0.07973951757591867	63.153697920127584	0.0	0.0	0.0	0.0	2.790883115157153	0.0	0.0	0.0	0.0	0.0	0.0	2.365605688085587	0.2857332713137085	0.0	0.0	0.0	0.0	0.0	0.013289919595986443	0.0	0.0	0.0	0.0	0.1528340753538441	0.07309455777792545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026579839191972893	0.0	0.019934879393979667	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IP
A12.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15693659761456372	0.0	0.0	0.14124293785310735	0.0	0.0	0.0	0.04708097928436912	0.09416195856873824	0.0	0.0	0.0	0.0	21.563088512241055	0.0	0.0	0.3295668549905838	0.0	0.0	0.25109855618330196	0.17263025737602009	0.0	0.0	0.0	0.0	0.17263025737602009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15693659761456372	0.2197112366603892	0.0	0.0	0.0	0.0	0.0	0.04708097928436912	0.0	0.0	0.09416195856873824	0.0	0.0	8.286252354048965	0.4080351537978657	0.0	0.3138731952291275	0.0	0.0	0.0	0.0	0.0	0.0	2.589453860640301	62.38229755178908	0.0	0.0	0.0	0.0	1.9146264908976773	0.0	0.0	0.0	0.0	0.0	0.0	0.32956685499058386	0.1726302573760201	0.0	0.0	0.0	0.0	0.0	0.031387319522912745	0.0	0.0	0.0	0.0	0.031387319522912745	0.09416195856873823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IV
A13.d0	0.0	0.0	0.0	0.028406400909004828	0.0	0.0	0.0	0.17990720575703062	0.0	0.0	0.03787520121200644	0.0	0.0	0.0	0.07575040242401287	0.38822081242306594	0.0	0.0	0.0	0.0	25.935044029921404	0.0	0.0	0.5397216172710917	0.0	0.0	0.04734400151500805	0.0	0.0	0.07575040242401287	0.0	0.0	0.17043840545402897	0.04734400151500805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48290881545308206	0.42609601363507243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35034561121105956	0.0	0.0	30.697850582331217	0.17990720575703056	0.0	0.24618880787804187	0.0	0.0	0.0	0.0	0.0	0.0	1.2498816399962125	29.65628254900104	0.0	0.0	0.0	0.0	7.6791970457343055	0.0	0.0	0.0	0.0	0.0	0.0	0.5775968184830982	0.4734400151500805	0.0	0.0	0.0	0.0	0.0	0.04734400151500805	0.0	0.0	0.0	0.0	0.0	0.23672000757504022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0946880030300161	0.0	0.07575040242401287	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IV
A14.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16103059581320453	0.0	0.0	0.0	0.0	0.0	28.341384863124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.466988727858293	0.0	0.0	0.26838432635534093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.40042941492218	0.0	0.0	0.0	0.0	0.6977992485238863	0.0	0.0	0.0	0.0	0.0	0.0	0.8051529790660228	0.32206119162640906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5367686527106819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IV
A15.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14388489208633096	0.0	0.0	0.7673860911270984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.16067146282973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0551558752997603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.961630695443646	0.0	0.0	0.5755395683453238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.417266187050366	0.0	0.0	0.0	0.0	0.7194244604316548	0.0	0.0	0.0	0.0	0.0	0.0	0.6714628297362111	0.23980815347721826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2877697841726619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IV
A16.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9538950715421303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.648648648648646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.446740858505564	0.3179650238473768	0.0	0.7949125596184419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.04292527821939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7949125596184419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IV
A17.d0	0.0	0.0	0.0	0.12217470983506419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18326206475259627	0.5497861942577886	0.0	0.0	0.0	0.0	11.117898594990837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6719609040928528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0995723885155773	0.9773976786805133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3665241295051925	0.0	0.0	36.40806353084912	0.12217470983506419	0.0	2.0769700671960907	0.0	0.0	0.0	0.0	0.0	0.0	2.1991447770311545	34.94196701282835	0.0	0.0	0.0	0.0	6.16982284667074	0.0	0.0	0.0	0.0	0.0	0.0	2.5656689065363474	0.42761148442272456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IV
A18.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2232415902140672	0.0	0.0	0.0	0.0	0.11120378092855157	0.0	0.0	0.0	0.0	22.9635807617459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6116207951070336	0.08340283569641366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8618293021962745	0.41701417848206834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19460661662496523	0.0	0.0	20.01668056713928	0.11120378092855157	0.0	0.6116207951070336	0.0	0.0	0.0	0.0	0.0	0.0	0.750625521267723	44.92632749513483	0.0	0.0	0.0	0.0	5.421184320266888	0.0	0.0	0.0	0.0	0.0	0.0	0.5004170141784821	0.6672226855713094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055601890464275786	0.0	0.0	0.055601890464275786	0.4170141784820684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IV
A2.d0	0.0	0.0	0.0	0.06995675400661408	0.0	0.0	0.0	0.20351055711015004	0.0	0.0	0.0	0.0	0.0	0.0	0.1653523276519969	1.0811498346476722	0.025438819638768755	0.0	0.0	0.0	5.660137369626049	0.0	0.0	0.3625031798524548	0.0	0.0	0.07631645891630628	0.31798524548460944	0.0	0.0	0.0	0.06995675400661408	0.8204019333502924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05087763927753752	0.0	0.0	0.0	0.0	0.6296107860595268	0.3943017044009157	0.0	0.0	0.0	0.0	0.0	0.03815822945815313	0.0	0.0	0.10175527855507502	0.0	0.0	52.65199694734164	0.05723734418722971	0.0	3.237089799033324	0.0	0.0	0.0	0.0	0.0	0.0	2.105062325108115	21.43220554566268	0.0	0.0	0.0	0.0	7.332739760875094	0.0	0.0	0.0	0.0	0.0	0.0	2.4294072755024163	0.45789875349783765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02543881963876876	0.0	0.0	0.050877639277537516	0.10811498346476721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04451793436784533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A3.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09955201592832257	0.0	0.0	0.0	0.0	0.0	0.0	0.09955201592832257	0.0	0.0	0.0	0.0	0.0	29.766052762568446	0.0	0.0	0.0	0.0	0.0	0.2986560477849677	0.0	0.0	0.0	0.0	0.0	0.2239920358387257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17421602787456447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.599800895968143	0.0	0.0	0.7217521154803386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.075161772025886	0.0	0.0	0.0	0.0	0.8959681433549029	0.0	0.0	0.0	0.0	0.0	0.0	0.7217521154803384	0.17421602787456447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14932802389248384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A4.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.991735537190078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.16528925619835	0.0	0.0	0.8264462809917356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.231404958677686	0.0	0.0	0.0	0.0	4.132231404958677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6528925619834711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A5.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.71428571428571	0.0	0.0	0.0	0.43956043956043955	0.0	0.6593406593406593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.175824175824176	0.0	0.0	0.43956043956043955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.69230769230769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8791208791208791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A6.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.19753086419754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6172839506172839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6172839506172839	0.0	0.0	6.481481481481482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.074074074074076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.012345679012346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A7.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20597322348094746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.833161688980432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.936148300720905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6179196704428424	52.832131822863026	0.0	0.0	0.0	0.0	2.059732234809475	0.0	0.0	0.0	0.0	0.0	0.0	0.5149330587023687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IP
A8.d0	0.0	0.0	0.0	0.11045330034461427	0.0	0.0	0.0	0.22532473270301315	0.0	0.0	0.0	0.0	0.0	0.0	0.06627198020676858	0.5434302376955024	0.04418132013784572	0.0	0.0	0.0	18.80798798268092	0.0	0.0	0.4241406733233189	0.0	0.0	0.030926924096492003	0.28276044888221263	0.0	0.0	0.0	0.11928956437218344	1.0029159671290977	0.07952637624812228	0.0	0.026508792082707438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2326588318458955	0.7157373862331007	0.0	0.0	0.0	0.0	0.0	0.008836264027569143	0.0	0.0	0.04418132013784572	0.0	0.0	33.79429177343819	0.14579835645489087	0.0	1.6126181850313688	0.0	0.0	0.0	0.0	0.0	0.0	0.9366439869223292	27.42776354157462	0.0	0.0	0.0	0.0	8.588848634797207	0.0	0.0	0.0	0.0	0.0	0.0	2.3151011752231154	1.0250066271980207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22974286471679772	0.12370769638596801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03534505611027657	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IP
A9.d0	0.0	0.0	0.04607587160190446	0.030717247734602982	0.0	0.0	0.0	0.07679311933650744	0.0	0.0	0.04607587160190446	0.0	0.0	0.0	0.030717247734602982	0.1382276148057134	0.030717247734602982	0.0	0.0	0.0	34.41867608662264	0.0	0.0	0.5221932114882507	0.0	0.0	0.09215174320380892	0.0	0.0	0.0	0.0	0.0	1.1826140377822145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3686069728152357	0.10751036707111043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24573798187682386	0.0	0.0	21.701735524497003	0.32253110121333123	0.0	1.612655506066656	0.0	0.0	0.0	0.0	0.0	0.0	0.4146828444171402	34.34188296728613	0.0	0.0	0.0	0.0	2.4880970665028412	0.0	0.0	0.0	0.0	0.0	0.0	1.2286899093841193	0.18430348640761787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3225311012133313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04607587160190446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IP
C1.d0	0.0	0.0	0.08768433638899958	0.013285505513484787	0.0	0.0	0.0	0.0185997077188787	0.0	0.0	0.0	0.0	0.0	0.0	0.10096984190248438	0.031885213232363485	0.0	0.0	0.0	0.0	33.84615384615384	0.0	0.0	0.23382489703733222	0.0	0.0	0.247110402550817	0.05048492095124219	0.0	0.029228112129666528	0.0	0.01594260661618174	0.37996545768566486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007971303308090871	0.0	0.0	0.0	0.1355121562375448	0.09565563969709046	0.0	0.0	0.0	0.0	0.0	0.0371994154377574	0.0	0.0	0.15676896505912047	0.0	0.0	5.122890925999733	0.06908462867012088	0.0	0.4384216819449979	0.0	0.0	0.0	0.0	0.0	0.0	0.042513617643151314	55.77520924671183	0.0	0.0	0.0	0.0	1.618174571542447	0.0	0.0	0.0	0.0	0.0	0.0	0.7599309153713298	0.23116779593463527	0.0	0.0	0.0	0.0	0.0	0.031885213232363485	0.0	0.007971303308090871	0.010628404410787828	0.0	0.04517071874584827	0.3294805367344227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01594260661618174	0.0	0.0	0.0	0.0	0.0	0.013285505513484787	PBS	PBS	PO
